1_ortho	4_cgram	11_infover	5_genre
rapportés	VER	par:pas;	m
rapporta	VER	ind:pas:3s;	na
rapportez	VER	imp:pre:2p;ind:pre:2p;	na
rapportai	VER	ind:pas:1s;	na
rapportées	VER	par:pas;	f
rapporterait	VER	cnd:pre:3s;	na
rapporterais	VER	cnd:pre:1s;cnd:pre:2s;	na
rapporteraient	VER	cnd:pre:3p;	na
rapporterai	VER	ind:fut:1s;	na
rapportiez	VER	ind:imp:2p;	na
rapportions	VER	ind:imp:1p;	na
rapportons	VER	imp:pre:1p;ind:pre:1p;	na
rapportât	VER	sub:imp:3s;	na
rapportèrent	VER	ind:pas:3p;	na
rapporté	VER	par:pas;	m
rapportée	VER	par:pas;	f
rapportera	VER	ind:fut:3s;	na
rapportant	VER	par:pre;	na
rapporte	VER	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:1s;sub:pre:3s;	na
rapportait	VER	ind:imp:3s;	na
rapporteriez	VER	cnd:pre:2p;	na
rapportais	VER	ind:imp:1s;ind:imp:2s;	na
rapporterons	VER	ind:fut:1p;	na
rapporter	VER	inf;	na
coincée	VER	ind:imp:3p;par:pas;	f
coinçait	VER	ind:imp:3s;	na
coincé	VER	par:pas;	m
coincèrent	VER	ind:pas:3p;	na
coinciez	VER	ind:imp:2p;	na
coincez	VER	imp:pre:2p;ind:pre:2p;	na
coinces	VER	ind:pre:2s;	na
coincera	VER	ind:fut:3s;	na
coinceront	VER	ind:fut:3p;	na
coincerons	VER	ind:fut:1p;	na
coinceriez	VER	cnd:pre:2p;	na
coincerait	VER	cnd:pre:3s;	na
coincées	VER	par:pas;	f
coincerais	VER	cnd:pre:1s;	na
coincés	VER	par:pas;	m
coinçaient	VER	ind:imp:3p;	na
coincer	VER	inf;	na
coincent	VER	ind:pre:3p;	na
coinçais	VER	ind:imp:1s;	na
coince	VER	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:3s;	na
coinçant	VER	par:pre;	na
coinçons	VER	imp:pre:1p;	na
coinça	VER	ind:pas:3s;	na
coincerai	VER	ind:fut:1s;	na
miracle	NOM	na	m
miracles	NOM	na	m
malheurs	NOM	na	m
malheur	NOM	na	m
sacrée	ADJ	na	f
sacré	ADJ	na	m
sacrées	ADJ	na	f
sacrés	ADJ	na	m
réunions	NOM	na	f
réunion	NOM	na	f
acte	NOM	na	m
actes	NOM	na	m
surprennent	VER	ind:pre:3p;	na
surprît	VER	sub:imp:3s;	na
surprendre	VER	inf;	na
surprenaient	VER	ind:imp:3p;	na
surprenais	VER	ind:imp:1s;ind:imp:2s;	na
surprenait	VER	ind:imp:3s;	na
surprenant	VER	par:pre;	na
surprend	VER	ind:pre:3s;	na
surprendra	VER	ind:fut:3s;	na
surprendrai	VER	ind:fut:1s;	na
surprendraient	VER	cnd:pre:3p;	na
surprendrais	VER	cnd:pre:1s;cnd:pre:2s;	na
surprendrait	VER	cnd:pre:3s;	na
surprendras	VER	ind:fut:2s;	na
surprendrez	VER	ind:fut:2p;	na
surprendrons	VER	ind:fut:1p;	na
surprendront	VER	ind:fut:3p;	na
surprends	VER	imp:pre:2s;ind:pre:1s;ind:pre:2s;	na
surprenez	VER	imp:pre:2p;ind:pre:2p;	na
surpreniez	VER	ind:imp:2p;	na
surprises	VER	par:pas;	f
surprise	VER	par:pas;	f
surprenions	VER	ind:imp:1p;	na
surprenne	VER	sub:pre:1s;sub:pre:3s;	na
surpris	VER	ind:pas:1s;ind:pas:2s;par:pas;par:pas;par:pas;	m
surprirent	VER	ind:pas:3p;	na
surprenons	VER	imp:pre:1p;ind:pre:1p;	na
surprit	VER	ind:pas:3s;	na
convainc	VER	ind:pre:3s;	na
convaincre	VER	inf;;inf;;inf;;	na
convaincus	VER	par:pas;	m
convaincrai	VER	ind:fut:1s;	na
convaincras	VER	ind:fut:2s;	na
convaincra	VER	ind:fut:3s;	na
convaincrez	VER	ind:fut:2p;	na
convaincrons	VER	ind:fut:1p;	na
convaincront	VER	ind:fut:3p;	na
convaincs	VER	imp:pre:2s;ind:pre:1s;ind:pre:2s;	na
convaincu	VER	par:pas;	m
convaincue	VER	par:pas;	f
convaincues	VER	par:pas;	f
convainquons	VER	imp:pre:1p;	na
convainquaient	VER	ind:imp:3p;	na
convainquait	VER	ind:imp:3s;	na
convainquant	VER	par:pre;	na
convainque	VER	sub:pre:1s;sub:pre:3s;	na
convainquent	VER	ind:pre:3p;	na
convainques	VER	sub:pre:2s;	na
convainquez	VER	imp:pre:2p;ind:pre:2p;	na
convainquiez	VER	ind:imp:2p;	na
convainquirent	VER	ind:pas:3p;	na
convainquis	VER	ind:pas:1s;	na
convainquit	VER	ind:pas:3s;	na
convaincrait	VER	cnd:pre:3s;	na
bêtes	ADJ	na	na
bête	ADJ	na	na
livrera	VER	ind:fut:3s;	na
livrerai	VER	ind:fut:1s;	na
livreraient	VER	cnd:pre:3p;	na
livrais	VER	ind:imp:1s;ind:imp:2s;	na
livrés	VER	par:pas;	m
livrées	VER	par:pas;	f
livrait	VER	ind:imp:3s;	na
livraient	VER	ind:imp:3p;	na
livrant	VER	par:pre;	na
livre	VER	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:3s;	na
livrée	VER	par:pas;	f
livrent	VER	ind:pre:3p;	na
livrèrent	VER	ind:pas:3p;	na
livré	VER	par:pas;	m
livrâmes	VER	ind:pas:1p;	na
livrerais	VER	cnd:pre:1s;cnd:pre:2s;	na
livrât	VER	sub:imp:3s;	na
livrer	VER	inf;;inf;;inf;;	na
livrai	VER	ind:pas:1s;	na
livrons	VER	imp:pre:1p;ind:pre:1p;	na
livrions	VER	ind:imp:1p;	na
livrez	VER	imp:pre:2p;ind:pre:2p;	na
livra	VER	ind:pas:3s;	na
livres	VER	ind:pre:2s;sub:pre:2s;	na
livreront	VER	ind:fut:3p;	na
livrerons	VER	ind:fut:1p;	na
livrerez	VER	ind:fut:2p;	na
livrerait	VER	cnd:pre:3s;	na
livreras	VER	ind:fut:2s;	na
quels	ADJ:int	na	m
pont	NOM	na	m
ponts	NOM	na	m
faîte	NOM	na	m
immédiatement	ADV	na	na
caméras	NOM	na	f
caméra	NOM	na	f
jugeant	VER	par:pre;	na
jugez	VER	imp:pre:2p;ind:pre:2p;	na
juge	VER	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:3s;	na
jugea	VER	ind:pas:3s;	na
jugeront	VER	ind:fut:3p;	na
jugerons	VER	ind:fut:1p;	na
jugeai	VER	ind:pas:1s;	na
jugeriez	VER	cnd:pre:2p;	na
jugeaient	VER	ind:imp:3p;	na
jugeais	VER	ind:imp:1s;ind:imp:2s;	na
jugerez	VER	ind:fut:2p;	na
jugeait	VER	ind:imp:3s;	na
jugeras	VER	ind:fut:2s;	na
jugerait	VER	cnd:pre:3s;	na
jugerais	VER	cnd:pre:1s;	na
jugeraient	VER	cnd:pre:3p;	na
jugerai	VER	ind:fut:1s;	na
jugera	VER	ind:fut:3s;	na
juger	VER	inf;;	na
jugeons	VER	imp:pre:1p;ind:pre:1p;	na
juges	VER	ind:pre:2s;sub:pre:2s;	na
jugent	VER	ind:pre:3p;	na
jugeâmes	VER	ind:pas:1p;	na
jugèrent	VER	ind:pas:3p;	na
jugés	VER	par:pas;	m
jugée	VER	par:pas;	f
jugé	VER	par:pas;	m
jugées	VER	par:pas;	f
jugions	VER	ind:imp:1p;	na
jugiez	VER	ind:imp:2p;	na
jugeât	VER	sub:imp:3s;	na
membres	NOM	na	m
membre	NOM	na	m
voies	NOM	na	f
voie	NOM	na	f
voisins	NOM	na	m
voisines	NOM	na	f
voisine	NOM	na	f
voisin	NOM	na	m
différence	NOM	na	f
différences	NOM	na	f
détails	NOM	na	m
détail	NOM	na	m
annonceraient	VER	cnd:pre:3p;	na
annoncés	VER	par:pas;	m
annonça	VER	ind:pas:3s;	na
annonçais	VER	ind:imp:1s;ind:imp:2s;	na
annonçait	VER	ind:imp:3s;	na
annonçant	VER	par:pre;	na
annonçons	VER	imp:pre:1p;ind:pre:1p;	na
annonçât	VER	sub:imp:3s;	na
annoncions	VER	ind:imp:1p;	na
annoncent	VER	ind:pre:3p;	na
annoncerais	VER	cnd:pre:1s;cnd:pre:2s;	na
annoncèrent	VER	ind:pas:3p;	na
annoncé	VER	par:pas;	m
annoncée	VER	par:pas;	f
annoncer	VER	inf;	na
annoncera	VER	ind:fut:3s;	na
annoncerai	VER	ind:fut:1s;	na
annonce	VER	imp:pre:2s;ind:pre:1s;ind:pre:3s;	na
annoncées	VER	par:pas;	f
annonçaient	VER	ind:imp:3p;	na
annonçai	VER	ind:pas:1s;	na
annoncerez	VER	ind:fut:2p;	na
annoncerons	VER	ind:fut:1p;	na
annonceras	VER	ind:fut:2s;	na
annonciez	VER	ind:imp:2p;	na
annonceront	VER	ind:fut:3p;	na
annonces	VER	ind:pre:2s;	na
annoncez	VER	imp:pre:2p;ind:pre:2p;	na
annoncerait	VER	cnd:pre:3s;	na
pardons	NOM	na	m
pardon	NOM	na	m
environ	ADV	na	na
tos	NOM	na	m
to	NOM	na	m
mille	ADJ:num	na	na
haïrai	VER	ind:fut:1s;	na
haïra	VER	ind:fut:3s;	na
haïr	VER	inf;	na
haïssent	VER	ind:pre:3p;	na
haïsses	VER	sub:pre:2s;	na
haïrez	VER	ind:fut:2p;	na
haïssiez	VER	ind:imp:2p;	na
haïssions	VER	ind:imp:1p;	na
haïssons	VER	imp:pre:1p;ind:pre:1p;	na
hais	VER	imp:pre:2s;ind:pre:1s;ind:pre:2s;	na
hait	VER	ind:pre:3s;	na
haït	VER	ind:pas:3s;	na
haïes	VER	par:pas;	f
haïssez	VER	imp:pre:2p;ind:pre:2p;	na
haïrais	VER	cnd:pre:1s;cnd:pre:2s;	na
haïraient	VER	cnd:pre:3p;	na
haïriez	VER	cnd:pre:2p;	na
haïrait	VER	cnd:pre:3s;	na
haïsse	VER	sub:pre:1s;sub:pre:3s;	na
haïe	VER	par:pas;	f
haïssant	VER	par:pre;	na
haïssait	VER	ind:imp:3s;	na
haïssais	VER	ind:imp:1s;ind:imp:2s;	na
haïssaient	VER	ind:imp:3p;	na
haïs	VER	ind:pas:1s;ind:pas:2s;par:pas;par:pas;	m
haïront	VER	ind:fut:3p;	na
haïras	VER	ind:fut:2s;	na
haïrons	VER	ind:fut:1p;	na
haï	VER	par:pas;	m
test	NOM	na	m
tests	NOM	na	m
assassin	NOM	na	m
assassins	NOM	na	m
officier	NOM	na	m
officiers	NOM	na	m
officière	NOM	na	f
proches	ADJ	na	na
proche	ADJ	na	na
conne	ADJ	na	f
cons	ADJ	na	m
con	ADJ	na	m
connes	ADJ	na	f
commandants	NOM	na	m
commandant	NOM	na	m
brisions	VER	ind:imp:1p;	na
brisez	VER	imp:pre:2p;ind:pre:2p;	na
brisent	VER	ind:pre:3p;	na
brisons	VER	imp:pre:1p;ind:pre:1p;	na
brisera	VER	ind:fut:3s;	na
briser	VER	inf;	na
brises	VER	ind:pre:2s;	na
briseront	VER	ind:fut:3p;	na
briserai	VER	ind:fut:1s;	na
briseraient	VER	cnd:pre:3p;	na
briserais	VER	cnd:pre:1s;cnd:pre:2s;	na
briserait	VER	cnd:pre:3s;	na
briseras	VER	ind:fut:2s;	na
briserez	VER	ind:fut:2p;	na
briseriez	VER	cnd:pre:2p;	na
brise	VER	imp:pre:2s;ind:pre:1s;ind:pre:3s;	na
briserons	VER	ind:fut:1p;	na
brisai	VER	ind:pas:1s;	na
brisaient	VER	ind:imp:3p;	na
brisées	VER	par:pas;	f
brisé	VER	par:pas;	m
brisèrent	VER	ind:pas:3p;	na
brisât	VER	sub:imp:3s;	na
brisa	VER	ind:pas:3s;	na
brisée	VER	par:pas;	f
brisés	VER	par:pas;	m
brisais	VER	ind:imp:1s;	na
brisait	VER	ind:imp:3s;	na
brisant	VER	par:pre;	na
gâteau	NOM	na	m
spectacle	NOM	na	m
spectacles	NOM	na	m
gâteaux	NOM	na	m
certainement	ADV	na	na
métiers	NOM	na	m
métier	NOM	na	m
enchantés	ADJ	na	m
enchanté	ADJ	na	m
enchantées	ADJ	na	f
enchantée	ADJ	na	f
chasseront	VER	ind:fut:3p;	na
chasserons	VER	ind:fut:1p;	na
chasses	VER	ind:pre:2s;	na
chasserions	VER	cnd:pre:1p;	na
chassez	VER	imp:pre:2p;ind:pre:2p;	na
chasse	VER	imp:pre:2s;ind:pre:1s;ind:pre:3s;	na
chassons	VER	imp:pre:1p;ind:pre:1p;	na
chassèrent	VER	ind:pas:3p;	na
chassiez	VER	ind:imp:2p;	na
chassions	VER	ind:imp:1p;	na
chassée	VER	par:pas;	f
chassât	VER	sub:imp:3s;	na
chasserez	VER	ind:fut:2p;	na
chassais	VER	ind:imp:1s;ind:imp:2s;	na
chassa	VER	ind:pas:3s;	na
chassé	VER	par:pas;	m
chassés	VER	par:pas;	m
chassent	VER	ind:pre:3p;	na
chassera	VER	ind:fut:3s;	na
chasserai	VER	ind:fut:1s;	na
chassant	VER	par:pre;	na
chasseraient	VER	cnd:pre:3p;	na
chassai	VER	ind:pas:1s;	na
chassait	VER	ind:imp:3s;	na
chasserais	VER	cnd:pre:1s;cnd:pre:2s;	na
chasserait	VER	cnd:pre:3s;	na
chasseras	VER	ind:fut:2s;	na
chassées	VER	par:pas;	f
chassaient	VER	ind:imp:3p;	na
chasser	VER	inf;	na
attirés	VER	par:pas;	m
attirées	VER	par:pas;	f
attirée	VER	par:pas;	f
attirèrent	VER	ind:pas:3p;	na
attiré	VER	par:pas;	m
chapeau	NOM	na	m
attirons	VER	imp:pre:1p;ind:pre:1p;	na
chapeaux	NOM	na	m
attirions	VER	ind:imp:1p;	na
attirât	VER	sub:imp:3s;	na
attirerait	VER	cnd:pre:3s;	na
attiraient	VER	ind:imp:3p;	na
attirez	VER	imp:pre:2p;ind:pre:2p;	na
attires	VER	ind:pre:2s;	na
attireront	VER	ind:fut:3p;	na
attirerons	VER	ind:fut:1p;	na
attireriez	VER	cnd:pre:2p;	na
attirerez	VER	ind:fut:2p;	na
attire	VER	imp:pre:2s;ind:pre:1s;ind:pre:3s;	na
attirai	VER	ind:pas:1s;	na
attira	VER	ind:pas:3s;	na
attirais	VER	ind:imp:1s;ind:imp:2s;	na
attirerais	VER	cnd:pre:1s;cnd:pre:2s;	na
attireraient	VER	cnd:pre:3p;	na
attirerai	VER	ind:fut:1s;	na
attirera	VER	ind:fut:3s;	na
attirer	VER	ind:pre:2p;inf;	na
attirent	VER	ind:pre:3p;	na
attirait	VER	ind:imp:3s;	na
attirant	VER	par:pre;	na
attiriez	VER	ind:imp:2p;	na
allumant	VER	par:pre;	na
alluma	VER	ind:pas:3s;	na
allumai	VER	ind:pas:1s;	na
allumaient	VER	ind:imp:3p;	na
allumais	VER	ind:imp:1s;ind:imp:2s;	na
allumait	VER	ind:imp:3s;	na
allumés	VER	par:pas;	m
allumiez	VER	ind:imp:2p;	na
allumions	VER	ind:imp:1p;	na
allumez	VER	imp:pre:2p;ind:pre:2p;	na
allumes	VER	ind:pre:2s;sub:pre:2s;	na
allumées	VER	par:pas;	f
allumée	VER	par:pas;	f
allumeront	VER	ind:fut:3p;	na
allumerons	VER	ind:fut:1p;	na
allumeras	VER	ind:fut:2s;	na
allumerait	VER	cnd:pre:3s;	na
allumerais	VER	cnd:pre:1s;	na
allumeraient	VER	cnd:pre:3p;	na
allumerai	VER	ind:fut:1s;	na
allumera	VER	ind:fut:3s;	na
allumer	VER	inf;	na
allument	VER	ind:pre:3p;	na
allumé	VER	par:pas;	m
allume	VER	imp:pre:2s;ind:pre:1s;ind:pre:3s;	na
allumons	VER	imp:pre:1p;ind:pre:1p;	na
allumâmes	VER	ind:pas:1p;	na
allumât	VER	sub:imp:3s;	na
allumèrent	VER	ind:pas:3p;	na
respects	NOM	na	m
respect	NOM	na	m
dessus	NOM	na	m
jeunes	NOM	na	na
jeune	NOM	na	na
d	PRE	na	na
sous-titrage	NOM	na	m
étoiles	NOM	na	f
étoile	NOM	na	f
charmants	ADJ	na	m
charmantes	ADJ	na	f
charmante	ADJ	na	f
charmant	ADJ	na	m
écraseraient	VER	cnd:pre:3p;	na
écraser	VER	inf;	na
écrasera	VER	ind:fut:3s;	na
écrasaient	VER	ind:imp:3p;	na
écrases	VER	ind:pre:2s;	na
écraseront	VER	ind:fut:3p;	na
écraserons	VER	ind:fut:1p;	na
écraserais	VER	cnd:pre:1s;cnd:pre:2s;	na
écraserez	VER	ind:fut:2p;	na
écraseras	VER	ind:fut:2s;	na
écrasais	VER	ind:imp:1s;ind:imp:2s;	na
écrasait	VER	ind:imp:3s;	na
écraserait	VER	cnd:pre:3s;	na
écrasant	VER	par:pre;	na
écrasent	VER	ind:pre:3p;	na
écrase	VER	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:3s;	na
écrasa	VER	ind:pas:3s;	na
écrasai	VER	ind:pas:1s;	na
écrasées	VER	par:pas;	f
écrasez	VER	imp:pre:2p;ind:pre:2p;	na
écrasé	VER	par:pas;	m
écrasiez	VER	ind:imp:2p;	na
écrasés	VER	par:pas;	m
écrasée	VER	par:pas;	f
écraserai	VER	ind:fut:1s;	na
écrasèrent	VER	ind:pas:3p;	na
écrasons	VER	imp:pre:1p;ind:pre:1p;	na
écrasions	VER	ind:imp:1p;	na
écrasât	VER	sub:imp:3s;	na
genoux	NOM	na	m
genou	NOM	na	m
formidables	ADJ	na	na
formidable	ADJ	na	na
arrachée	VER	par:pas;	f
arrachés	VER	par:pas;	m
arrachées	VER	par:pas;	f
arrachions	VER	ind:imp:1p;	na
arrachèrent	VER	ind:pas:3p;	na
arrachât	VER	sub:imp:3s;	na
arrachons	VER	imp:pre:1p;ind:pre:1p;	na
arrachiez	VER	ind:imp:2p;	na
arrachez	VER	imp:pre:2p;ind:pre:2p;	na
arracherai	VER	ind:fut:1s;	na
arraché	VER	par:pas;	m
arrachaient	VER	ind:imp:3p;	na
arracheront	VER	ind:fut:3p;	na
arracherons	VER	ind:fut:1p;	na
arracheras	VER	ind:fut:2s;	na
arracherait	VER	cnd:pre:3s;	na
arracherais	VER	cnd:pre:1s;cnd:pre:2s;	na
arraches	VER	ind:pre:2s;	na
arrachai	VER	ind:pas:1s;	na
arracheraient	VER	cnd:pre:3p;	na
arracha	VER	ind:pas:3s;	na
arrachais	VER	ind:imp:1s;ind:imp:2s;	na
arrachera	VER	ind:fut:3s;	na
arracher	VER	inf;;	na
arrachait	VER	ind:imp:3s;	na
arrachent	VER	ind:pre:3p;	na
arrache	VER	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:1s;sub:pre:3s;	na
arrachant	VER	par:pre;	na
mieux	NOM	na	m
soit	CON	na	na
sorcières	NOM	na	f
sorcière	NOM	na	f
sorciers	NOM	na	m
sorcier	NOM	na	m
mien	PRO:pos	na	m
foi	NOM	na	f
souriaient	VER	ind:imp:3p;	na
sourît	VER	sub:imp:3s;	na
sourîmes	VER	ind:pas:1p;	na
sourit	VER	ind:pre:3s;ind:pas:3s;	na
souri	VER	par:pas;	m
souriras	VER	ind:fut:2s;	na
souriez	VER	imp:pre:2p;ind:pre:2p;	na
sourirait	VER	cnd:pre:3s;	na
sourire	VER	inf;	na
sourirais	VER	cnd:pre:1s;cnd:pre:2s;	na
souriraient	VER	cnd:pre:3p;	na
sourirai	VER	ind:fut:1s;	na
sourions	VER	imp:pre:1p;ind:pre:1p;	na
souriions	VER	ind:imp:1p;	na
sourirent	VER	ind:pas:3p;	na
sourira	VER	ind:fut:3s;	na
sourirons	VER	ind:fut:1p;	na
souriront	VER	ind:fut:3p;	na
souris	VER	imp:pre:2s;ind:pre:1s;ind:pre:2s;	na
sourient	VER	ind:pre:3p;	na
sourie	VER	sub:pre:1s;sub:pre:3s;	na
souriais	VER	ind:imp:1s;ind:imp:2s;	na
souries	VER	sub:pre:2s;	na
souriant	VER	par:pre;	na
souriait	VER	ind:imp:3s;	na
inventez	VER	imp:pre:2p;ind:pre:2p;	na
inventerions	VER	cnd:pre:1p;	na
inventerons	VER	ind:fut:1p;	na
inventeront	VER	ind:fut:3p;	na
inventes	VER	ind:pre:2s;sub:pre:2s;	na
inventions	VER	ind:imp:1p;	na
inventiez	VER	ind:imp:2p;	na
inventons	VER	imp:pre:1p;ind:pre:1p;	na
inventât	VER	sub:imp:3s;	na
inventèrent	VER	ind:pas:3p;	na
inventerez	VER	ind:fut:2p;	na
inventé	VER	par:pas;	m
inventeriez	VER	cnd:pre:2p;	na
inventée	VER	par:pas;	f
inventeras	VER	ind:fut:2s;	na
invente	VER	imp:pre:2s;ind:pre:1s;ind:pre:3s;	na
inventa	VER	ind:pas:3s;	na
inventai	VER	ind:pas:1s;	na
inventaient	VER	ind:imp:3p;	na
inventais	VER	ind:imp:1s;ind:imp:2s;	na
inventait	VER	ind:imp:3s;	na
inventant	VER	par:pre;	na
inventent	VER	ind:pre:3p;	na
inventerait	VER	cnd:pre:3s;	na
inventer	VER	inf;;	na
inventés	VER	par:pas;	m
inventera	VER	ind:fut:3s;	na
inventerai	VER	ind:fut:1s;	na
inventeraient	VER	cnd:pre:3p;	na
inventerais	VER	cnd:pre:1s;cnd:pre:2s;	na
inventées	VER	par:pas;	f
zone	NOM	na	f
zones	NOM	na	f
honnête	ADJ	na	na
honnêtes	ADJ	na	na
dires	NOM	na	m
dire	NOM	na	m
mêlait	VER	ind:imp:3s;	na
mêlent	VER	ind:pre:3p;	na
mêle	VER	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:1s;sub:pre:3s;	na
mêlasse	VER	sub:imp:1s;	na
mêlant	VER	par:pre;	na
mêleront	VER	ind:fut:3p;	na
mêlez	VER	imp:pre:2p;ind:pre:2p;	na
mêlera	VER	ind:fut:3s;	na
mêles	VER	ind:pre:2s;	na
mêlées	VER	par:pas;	f
mêliez	VER	ind:imp:2p;	na
mêlions	VER	ind:imp:1p;	na
mêlais	VER	ind:imp:1s;ind:imp:2s;	na
mêlaient	VER	ind:imp:3p;	na
mêlai	VER	ind:pas:1s;	na
mêler	VER	inf;;	na
mêlerait	VER	cnd:pre:3s;	na
mêlerais	VER	cnd:pre:1s;cnd:pre:2s;	na
mêlé	VER	par:pas;	m
mêlée	VER	par:pas;	f
mêlés	VER	par:pas;	m
mêlerai	VER	ind:fut:1s;	na
mêleraient	VER	cnd:pre:3p;	na
mêla	VER	ind:pas:3s;	na
mêlèrent	VER	ind:pas:3p;	na
mêlât	VER	sub:imp:3s;	na
mêlons	VER	imp:pre:1p;ind:pre:1p;	na
énervâmes	VER	ind:pas:1p;	na
énerver	VER	inf;	na
énervera	VER	ind:fut:3s;	na
énerve	VER	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:1s;	na
énervés	VER	par:pas;	m
énervons	VER	imp:pre:1p;ind:pre:1p;	na
énerverait	VER	cnd:pre:3s;	na
énervant	VER	par:pre;	na
énervent	VER	ind:pre:3p;	na
énerva	VER	ind:pas:3s;	na
énervez	VER	imp:pre:2p;ind:pre:2p;	na
énervaient	VER	ind:imp:3p;	na
énervions	VER	ind:imp:1p;	na
énerveraient	VER	cnd:pre:3p;	na
énervai	VER	ind:pas:1s;	na
énervais	VER	ind:imp:1s;ind:imp:2s;	na
énervait	VER	ind:imp:3s;	na
énerverai	VER	ind:fut:1s;	na
énervé	VER	par:pas;	m
énervée	VER	par:pas;	f
énerves	VER	ind:pre:2s;	na
énerviez	VER	ind:imp:2p;	na
énerveront	VER	ind:fut:3p;	na
énervées	VER	par:pas;	f
exploseraient	VER	cnd:pre:3p;	na
explosaient	VER	ind:imp:3p;	na
explosa	VER	ind:pas:3s;	na
explosais	VER	ind:imp:1s;	na
explosait	VER	ind:imp:3s;	na
explosai	VER	ind:pas:1s;	na
explosions	VER	ind:imp:1p;	na
exploserais	VER	cnd:pre:1s;	na
exploser	VER	inf;;	na
exploses	VER	ind:pre:2s;sub:pre:2s;	na
explosons	VER	imp:pre:1p;ind:pre:1p;	na
explosât	VER	sub:imp:3s;	na
explosera	VER	ind:fut:3s;	na
exploserai	VER	ind:fut:1s;	na
explosèrent	VER	ind:pas:3p;	na
explosé	VER	par:pas;	m
explosées	VER	par:pas;	f
explosée	VER	par:pas;	f
exploseront	VER	ind:fut:3p;	na
explosez	VER	imp:pre:2p;ind:pre:2p;	na
exploserez	VER	ind:fut:2p;	na
exploseras	VER	ind:fut:2s;	na
explosent	VER	ind:pre:3p;	na
explose	VER	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:3s;	na
exploserait	VER	cnd:pre:3s;	na
explosant	VER	par:pre;	na
explosés	VER	par:pas;	m
réalité	NOM	na	f
réalités	NOM	na	f
présent	ADJ	na	m
présents	ADJ	na	m
présente	ADJ	na	f
présentes	ADJ	na	f
supplient	VER	ind:pre:3p;	na
suppliaient	VER	ind:imp:3p;	na
supplieras	VER	ind:fut:2s;	na
suppliais	VER	ind:imp:1s;ind:imp:2s;	na
suppliait	VER	ind:imp:3s;	na
suppliant	VER	par:pre;	na
supplie	VER	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:1s;	na
supplier	VER	ind:pre:2p;inf;	na
suppliera	VER	ind:fut:3s;	na
supplierai	VER	ind:fut:1s;	na
supplia	VER	ind:pas:3s;	na
supplierais	VER	cnd:pre:1s;cnd:pre:2s;	na
supplierait	VER	cnd:pre:3s;	na
supplieraient	VER	cnd:pre:3p;	na
supplierez	VER	ind:fut:2p;	na
supplieriez	VER	cnd:pre:2p;	na
suppliés	VER	par:pas;	m
suppliée	VER	par:pas;	f
supplié	VER	par:pas;	m
suppliât	VER	sub:imp:3s;	na
suppliai	VER	ind:pas:1s;	na
supplions	VER	ind:pre:1p;	na
suppliez	VER	imp:pre:2p;ind:pre:2p;	na
supplies	VER	ind:pre:2s;	na
supplieront	VER	ind:fut:3p;	na
étonnèrent	VER	ind:pas:3p;	na
étonné	VER	par:pas;	m
étonnées	VER	par:pas;	f
étonnés	VER	par:pas;	m
étonnât	VER	sub:imp:3s;	na
étonnâmes	VER	ind:pas:1p;	na
étonniez	VER	ind:imp:2p;	na
étonnée	VER	par:pas;	f
étonnions	VER	ind:imp:1p;	na
étonnons	VER	imp:pre:1p;ind:pre:1p;	na
étonnerais	VER	cnd:pre:1s;	na
étonna	VER	ind:pas:3s;	na
étonnai	VER	ind:pas:1s;	na
étonnaient	VER	ind:imp:3p;	na
étonnais	VER	ind:imp:1s;ind:imp:2s;	na
étonnait	VER	ind:imp:3s;	na
étonnant	VER	par:pre;	na
étonne	VER	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:1s;sub:pre:3s;	na
étonner	VER	inf;	na
étonnera	VER	ind:fut:3s;	na
étonnerai	VER	ind:fut:1s;	na
étonneraient	VER	cnd:pre:3p;	na
étonnent	VER	ind:pre:3p;	na
étonnerait	VER	cnd:pre:3s;	na
étonneront	VER	ind:fut:3p;	na
étonneras	VER	ind:fut:2s;	na
étonnes	VER	ind:pre:2s;	na
étonnez	VER	imp:pre:2p;ind:pre:2p;	na
étonnerez	VER	ind:fut:2p;	na
étonneriez	VER	cnd:pre:2p;	na
étonnerons	VER	ind:fut:1p;	na
superbe	ADJ	na	na
superbes	ADJ	na	na
méchants	ADJ	na	m
méchantes	ADJ	na	f
méchante	ADJ	na	f
méchant	ADJ	na	m
tons	NOM	na	m
ton	NOM	na	m
contrats	NOM	na	m
contrat	NOM	na	m
marche	NOM	na	f
marches	NOM	na	f
déposait	VER	ind:imp:3s;	na
déposa	VER	ind:pas:3s;	na
déposai	VER	ind:pas:1s;	na
déposaient	VER	ind:imp:3p;	na
déposais	VER	ind:imp:1s;ind:imp:2s;	na
déposâmes	VER	ind:pas:1p;	na
déposerais	VER	cnd:pre:1s;cnd:pre:2s;	na
